hue	sat	light	r	g	b
0	 0.625	     0	0	0	0
15	 0.625	     0	0	0	0
30	 0.625	     0	0	0	0
45	 0.625	     0	0	0	0
60	 0.625	     0	0	0	0
75	 0.625	     0	0	0	0
90	 0.625	     0	0	0	0
105	 0.625	     0	0	0	0
120	 0.625	     0	0	0	0
135	 0.625	     0	0	0	0
150	 0.625	     0	0	0	0
165	 0.625	     0	0	0	0
180	 0.625	     0	0	0	0
195	 0.625	     0	0	0	0
210	 0.625	     0	0	0	0
225	 0.625	     0	0	0	0
240	 0.625	     0	0	0	0
255	 0.625	     0	0	0	0
270	 0.625	     0	0	0	0
285	 0.625	     0	0	0	0
300	 0.625	     0	0	0	0
315	 0.625	     0	0	0	0
330	 0.625	     0	0	0	0
345	 0.625	     0	0	0	0
0	 0.625	 0.125	52	12	12
15	 0.625	 0.125	52	22	12
30	 0.625	 0.125	52	32	12
45	 0.625	 0.125	52	42	12
60	 0.625	 0.125	52	52	12
75	 0.625	 0.125	41	52	12
90	 0.625	 0.125	32	52	12
105	 0.625	 0.125	22	52	12
120	 0.625	 0.125	12	52	12
135	 0.625	 0.125	12	52	22
150	 0.625	 0.125	12	52	31
165	 0.625	 0.125	12	52	42
180	 0.625	 0.125	12	52	52
195	 0.625	 0.125	12	41	52
210	 0.625	 0.125	12	32	52
225	 0.625	 0.125	12	22	52
240	 0.625	 0.125	12	12	52
255	 0.625	 0.125	21	12	52
270	 0.625	 0.125	32	12	52
285	 0.625	 0.125	42	12	52
300	 0.625	 0.125	51	12	52
315	 0.625	 0.125	52	12	41
330	 0.625	 0.125	52	12	31
345	 0.625	 0.125	52	12	22
0	 0.625	  0.25	104	24	24
15	 0.625	  0.25	104	44	24
30	 0.625	  0.25	104	64	24
45	 0.625	  0.25	104	84	24
60	 0.625	  0.25	104	104	24
75	 0.625	  0.25	83	104	24
90	 0.625	  0.25	64	104	24
105	 0.625	  0.25	44	104	24
120	 0.625	  0.25	24	104	24
135	 0.625	  0.25	24	104	44
150	 0.625	  0.25	24	104	63
165	 0.625	  0.25	24	104	84
180	 0.625	  0.25	24	104	104
195	 0.625	  0.25	24	83	104
210	 0.625	  0.25	24	64	104
225	 0.625	  0.25	24	44	104
240	 0.625	  0.25	24	24	104
255	 0.625	  0.25	43	24	104
270	 0.625	  0.25	64	24	104
285	 0.625	  0.25	84	24	104
300	 0.625	  0.25	103	24	104
315	 0.625	  0.25	104	24	83
330	 0.625	  0.25	104	24	63
345	 0.625	  0.25	104	24	44
0	 0.625	 0.375	156	36	36
15	 0.625	 0.375	156	66	36
30	 0.625	 0.375	156	96	36
45	 0.625	 0.375	156	126	36
60	 0.625	 0.375	156	156	36
75	 0.625	 0.375	125	156	36
90	 0.625	 0.375	96	156	36
105	 0.625	 0.375	66	156	36
120	 0.625	 0.375	36	156	36
135	 0.625	 0.375	36	156	66
150	 0.625	 0.375	36	156	95
165	 0.625	 0.375	36	156	126
180	 0.625	 0.375	36	156	156
195	 0.625	 0.375	36	125	156
210	 0.625	 0.375	36	96	156
225	 0.625	 0.375	36	66	156
240	 0.625	 0.375	36	36	156
255	 0.625	 0.375	65	36	156
270	 0.625	 0.375	96	36	156
285	 0.625	 0.375	126	36	156
300	 0.625	 0.375	155	36	156
315	 0.625	 0.375	156	36	125
330	 0.625	 0.375	156	36	95
345	 0.625	 0.375	156	36	66
0	 0.625	   0.5	208	48	48
15	 0.625	   0.5	208	88	48
30	 0.625	   0.5	208	128	48
45	 0.625	   0.5	208	168	48
60	 0.625	   0.5	208	208	48
75	 0.625	   0.5	167	208	48
90	 0.625	   0.5	128	208	48
105	 0.625	   0.5	88	208	48
120	 0.625	   0.5	48	208	48
135	 0.625	   0.5	48	208	88
150	 0.625	   0.5	48	208	127
165	 0.625	   0.5	48	208	168
180	 0.625	   0.5	48	208	208
195	 0.625	   0.5	48	167	208
210	 0.625	   0.5	48	128	208
225	 0.625	   0.5	48	88	208
240	 0.625	   0.5	48	48	208
255	 0.625	   0.5	87	48	208
270	 0.625	   0.5	128	48	208
285	 0.625	   0.5	168	48	208
300	 0.625	   0.5	207	48	208
315	 0.625	   0.5	208	48	167
330	 0.625	   0.5	208	48	127
345	 0.625	   0.5	208	48	88
0	 0.625	 0.625	220	100	100
15	 0.625	 0.625	220	130	100
30	 0.625	 0.625	220	160	100
45	 0.625	 0.625	220	190	100
60	 0.625	 0.625	220	220	100
75	 0.625	 0.625	189	220	100
90	 0.625	 0.625	160	220	100
105	 0.625	 0.625	130	220	100
120	 0.625	 0.625	100	220	100
135	 0.625	 0.625	100	220	130
150	 0.625	 0.625	100	220	159
165	 0.625	 0.625	100	220	190
180	 0.625	 0.625	100	220	220
195	 0.625	 0.625	100	189	220
210	 0.625	 0.625	100	160	220
225	 0.625	 0.625	100	130	220
240	 0.625	 0.625	100	100	220
255	 0.625	 0.625	129	100	220
270	 0.625	 0.625	160	100	220
285	 0.625	 0.625	190	100	220
300	 0.625	 0.625	219	100	220
315	 0.625	 0.625	220	100	189
330	 0.625	 0.625	220	100	159
345	 0.625	 0.625	220	100	130
0	 0.625	  0.75	232	152	152
15	 0.625	  0.75	232	172	152
30	 0.625	  0.75	232	192	152
45	 0.625	  0.75	232	212	152
60	 0.625	  0.75	232	232	152
75	 0.625	  0.75	211	232	152
90	 0.625	  0.75	192	232	152
105	 0.625	  0.75	172	232	152
120	 0.625	  0.75	152	232	152
135	 0.625	  0.75	152	232	172
150	 0.625	  0.75	152	232	192
165	 0.625	  0.75	152	232	212
180	 0.625	  0.75	152	232	232
195	 0.625	  0.75	152	211	232
210	 0.625	  0.75	152	192	232
225	 0.625	  0.75	152	172	232
240	 0.625	  0.75	152	152	232
255	 0.625	  0.75	171	152	232
270	 0.625	  0.75	192	152	232
285	 0.625	  0.75	212	152	232
300	 0.625	  0.75	231	152	232
315	 0.625	  0.75	232	152	211
330	 0.625	  0.75	232	152	191
345	 0.625	  0.75	232	152	172
0	 0.625	 0.875	244	204	204
15	 0.625	 0.875	244	214	204
30	 0.625	 0.875	244	224	204
45	 0.625	 0.875	244	234	204
60	 0.625	 0.875	244	244	204
75	 0.625	 0.875	234	244	204
90	 0.625	 0.875	224	244	204
105	 0.625	 0.875	214	244	204
120	 0.625	 0.875	204	244	204
135	 0.625	 0.875	204	244	214
150	 0.625	 0.875	204	244	224
165	 0.625	 0.875	204	244	234
180	 0.625	 0.875	204	244	244
195	 0.625	 0.875	204	234	244
210	 0.625	 0.875	204	224	244
225	 0.625	 0.875	204	214	244
240	 0.625	 0.875	204	204	244
255	 0.625	 0.875	213	204	244
270	 0.625	 0.875	224	204	244
285	 0.625	 0.875	234	204	244
300	 0.625	 0.875	243	204	244
315	 0.625	 0.875	244	204	234
330	 0.625	 0.875	244	204	223
345	 0.625	 0.875	244	204	214
0	 0.625	     1	255	255	255
15	 0.625	     1	255	255	255
30	 0.625	     1	255	255	255
45	 0.625	     1	255	255	255
60	 0.625	     1	255	255	255
75	 0.625	     1	255	255	255
90	 0.625	     1	255	255	255
105	 0.625	     1	255	255	255
120	 0.625	     1	255	255	255
135	 0.625	     1	255	255	255
150	 0.625	     1	255	255	255
165	 0.625	     1	255	255	255
180	 0.625	     1	255	255	255
195	 0.625	     1	255	255	255
210	 0.625	     1	255	255	255
225	 0.625	     1	255	255	255
240	 0.625	     1	255	255	255
255	 0.625	     1	255	255	255
270	 0.625	     1	255	255	255
285	 0.625	     1	255	255	255
300	 0.625	     1	255	255	255
315	 0.625	     1	255	255	255
330	 0.625	     1	255	255	255
345	 0.625	     1	255	255	255
0	  0.75	     0	0	0	0
15	  0.75	     0	0	0	0
30	  0.75	     0	0	0	0
45	  0.75	     0	0	0	0
60	  0.75	     0	0	0	0
75	  0.75	     0	0	0	0
90	  0.75	     0	0	0	0
105	  0.75	     0	0	0	0
120	  0.75	     0	0	0	0
135	  0.75	     0	0	0	0
150	  0.75	     0	0	0	0
165	  0.75	     0	0	0	0
180	  0.75	     0	0	0	0
195	  0.75	     0	0	0	0
210	  0.75	     0	0	0	0
225	  0.75	     0	0	0	0
240	  0.75	     0	0	0	0
255	  0.75	     0	0	0	0
270	  0.75	     0	0	0	0
285	  0.75	     0	0	0	0
300	  0.75	     0	0	0	0
315	  0.75	     0	0	0	0
330	  0.75	     0	0	0	0
345	  0.75	     0	0	0	0
0	  0.75	 0.125	56	8	8
15	  0.75	 0.125	56	20	8
30	  0.75	 0.125	56	32	8
45	  0.75	 0.125	56	44	8
60	  0.75	 0.125	56	56	8
75	  0.75	 0.125	43	56	8
90	  0.75	 0.125	32	56	8
105	  0.75	 0.125	20	56	8
120	  0.75	 0.125	8	56	8
135	  0.75	 0.125	8	56	20
150	  0.75	 0.125	8	56	31
165	  0.75	 0.125	8	56	44
180	  0.75	 0.125	8	56	56
195	  0.75	 0.125	8	43	56
210	  0.75	 0.125	8	32	56
225	  0.75	 0.125	8	20	56
240	  0.75	 0.125	8	8	56
255	  0.75	 0.125	19	8	56
270	  0.75	 0.125	32	8	56
285	  0.75	 0.125	44	8	56
300	  0.75	 0.125	55	8	56
315	  0.75	 0.125	56	8	43
330	  0.75	 0.125	56	8	31
345	  0.75	 0.125	56	8	20
0	  0.75	  0.25	112	16	16
15	  0.75	  0.25	112	40	16
30	  0.75	  0.25	112	64	16
45	  0.75	  0.25	112	88	16
60	  0.75	  0.25	112	112	16
75	  0.75	  0.25	87	112	16
90	  0.75	  0.25	64	112	16
105	  0.75	  0.25	40	112	16
120	  0.75	  0.25	16	112	16
135	  0.75	  0.25	16	112	40
150	  0.75	  0.25	16	112	63
165	  0.75	  0.25	16	112	88
180	  0.75	  0.25	16	112	112
195	  0.75	  0.25	16	87	112
210	  0.75	  0.25	16	64	112
225	  0.75	  0.25	16	40	112
240	  0.75	  0.25	16	16	112
255	  0.75	  0.25	39	16	112
270	  0.75	  0.25	64	16	112
285	  0.75	  0.25	88	16	112
300	  0.75	  0.25	111	16	112
315	  0.75	  0.25	112	16	87
330	  0.75	  0.25	112	16	63
345	  0.75	  0.25	112	16	40
0	  0.75	 0.375	168	24	24
15	  0.75	 0.375	168	60	24
30	  0.75	 0.375	168	96	24
45	  0.75	 0.375	168	132	24
60	  0.75	 0.375	168	168	24
75	  0.75	 0.375	131	168	24
90	  0.75	 0.375	96	168	24
105	  0.75	 0.375	60	168	24
120	  0.75	 0.375	24	168	24
135	  0.75	 0.375	24	168	60
150	  0.75	 0.375	24	168	95
165	  0.75	 0.375	24	168	132
180	  0.75	 0.375	24	168	168
195	  0.75	 0.375	24	131	168
210	  0.75	 0.375	24	96	168
225	  0.75	 0.375	24	60	168
240	  0.75	 0.375	24	24	168
255	  0.75	 0.375	59	24	168
270	  0.75	 0.375	96	24	168
285	  0.75	 0.375	132	24	168
300	  0.75	 0.375	167	24	168
315	  0.75	 0.375	168	24	131
330	  0.75	 0.375	168	24	95
345	  0.75	 0.375	168	24	60
0	  0.75	   0.5	224	32	32
15	  0.75	   0.5	224	80	32
30	  0.75	   0.5	224	128	32
45	  0.75	   0.5	224	176	32
60	  0.75	   0.5	224	224	32
75	  0.75	   0.5	175	224	32
90	  0.75	   0.5	128	224	32
105	  0.75	   0.5	80	224	32
120	  0.75	   0.5	32	224	32
135	  0.75	   0.5	32	224	80
150	  0.75	   0.5	32	224	127
165	  0.75	   0.5	32	224	176
180	  0.75	   0.5	32	224	224
195	  0.75	   0.5	32	175	224
210	  0.75	   0.5	32	128	224
225	  0.75	   0.5	32	80	224
240	  0.75	   0.5	32	32	224
255	  0.75	   0.5	79	32	224
270	  0.75	   0.5	128	32	224
285	  0.75	   0.5	176	32	224
300	  0.75	   0.5	223	32	224
315	  0.75	   0.5	224	32	175
330	  0.75	   0.5	224	32	127
345	  0.75	   0.5	224	32	80
0	  0.75	 0.625	232	88	88
15	  0.75	 0.625	232	124	88
30	  0.75	 0.625	232	160	88
45	  0.75	 0.625	232	196	88
60	  0.75	 0.625	232	232	88
75	  0.75	 0.625	195	232	88
90	  0.75	 0.625	160	232	88
105	  0.75	 0.625	124	232	88
120	  0.75	 0.625	88	232	88
135	  0.75	 0.625	88	232	124
150	  0.75	 0.625	88	232	159
165	  0.75	 0.625	88	232	196
180	  0.75	 0.625	88	232	232
195	  0.75	 0.625	88	195	232
210	  0.75	 0.625	88	160	232
225	  0.75	 0.625	88	124	232
240	  0.75	 0.625	88	88	232
255	  0.75	 0.625	123	88	232
270	  0.75	 0.625	160	88	232
285	  0.75	 0.625	196	88	232
300	  0.75	 0.625	231	88	232
315	  0.75	 0.625	232	88	195
330	  0.75	 0.625	232	88	159
345	  0.75	 0.625	232	88	124
0	  0.75	  0.75	240	144	144
15	  0.75	  0.75	240	168	144
30	  0.75	  0.75	240	192	144
45	  0.75	  0.75	240	216	144
60	  0.75	  0.75	240	240	144
75	  0.75	  0.75	215	240	144
90	  0.75	  0.75	192	240	144
105	  0.75	  0.75	168	240	144
120	  0.75	  0.75	144	240	144
135	  0.75	  0.75	144	240	168
150	  0.75	  0.75	144	240	192
165	  0.75	  0.75	144	240	216
180	  0.75	  0.75	144	240	240
195	  0.75	  0.75	144	215	240
210	  0.75	  0.75	144	192	240
225	  0.75	  0.75	144	168	240
240	  0.75	  0.75	144	144	240
255	  0.75	  0.75	167	144	240
270	  0.75	  0.75	192	144	240
285	  0.75	  0.75	216	144	240
300	  0.75	  0.75	239	144	240
315	  0.75	  0.75	240	144	215
330	  0.75	  0.75	240	144	191
345	  0.75	  0.75	240	144	168
0	  0.75	 0.875	248	200	200
15	  0.75	 0.875	248	212	200
30	  0.75	 0.875	248	224	200
45	  0.75	 0.875	248	236	200
60	  0.75	 0.875	248	248	200
75	  0.75	 0.875	236	248	200
90	  0.75	 0.875	224	248	200
105	  0.75	 0.875	212	248	200
120	  0.75	 0.875	200	248	200
135	  0.75	 0.875	200	248	212
150	  0.75	 0.875	200	248	224
165	  0.75	 0.875	200	248	236
180	  0.75	 0.875	200	248	248
195	  0.75	 0.875	200	236	248
210	  0.75	 0.875	200	224	248
225	  0.75	 0.875	200	212	248
240	  0.75	 0.875	200	200	248
255	  0.75	 0.875	211	200	248
270	  0.75	 0.875	224	200	248
285	  0.75	 0.875	236	200	248
300	  0.75	 0.875	247	200	248
315	  0.75	 0.875	248	200	236
330	  0.75	 0.875	248	200	223
345	  0.75	 0.875	248	200	212
0	  0.75	     1	255	255	255
15	  0.75	     1	255	255	255
30	  0.75	     1	255	255	255
45	  0.75	     1	255	255	255
60	  0.75	     1	255	255	255
75	  0.75	     1	255	255	255
90	  0.75	     1	255	255	255
105	  0.75	     1	255	255	255
120	  0.75	     1	255	255	255
135	  0.75	     1	255	255	255
150	  0.75	     1	255	255	255
165	  0.75	     1	255	255	255
180	  0.75	     1	255	255	255
195	  0.75	     1	255	255	255
210	  0.75	     1	255	255	255
225	  0.75	     1	255	255	255
240	  0.75	     1	255	255	255
255	  0.75	     1	255	255	255
270	  0.75	     1	255	255	255
285	  0.75	     1	255	255	255
300	  0.75	     1	255	255	255
315	  0.75	     1	255	255	255
330	  0.75	     1	255	255	255
345	  0.75	     1	255	255	255
0	 0.875	     0	0	0	0
15	 0.875	     0	0	0	0
30	 0.875	     0	0	0	0
45	 0.875	     0	0	0	0
60	 0.875	     0	0	0	0
75	 0.875	     0	0	0	0
90	 0.875	     0	0	0	0
105	 0.875	     0	0	0	0
120	 0.875	     0	0	0	0
135	 0.875	     0	0	0	0
150	 0.875	     0	0	0	0
165	 0.875	     0	0	0	0
180	 0.875	     0	0	0	0
195	 0.875	     0	0	0	0
210	 0.875	     0	0	0	0
225	 0.875	     0	0	0	0
240	 0.875	     0	0	0	0
255	 0.875	     0	0	0	0
270	 0.875	     0	0	0	0
285	 0.875	     0	0	0	0
300	 0.875	     0	0	0	0
315	 0.875	     0	0	0	0
330	 0.875	     0	0	0	0
345	 0.875	     0	0	0	0
0	 0.875	 0.125	60	4	4
15	 0.875	 0.125	60	18	4
30	 0.875	 0.125	60	32	4
45	 0.875	 0.125	60	46	4
60	 0.875	 0.125	60	60	4
75	 0.875	 0.125	45	60	4
90	 0.875	 0.125	32	60	4
105	 0.875	 0.125	18	60	4
120	 0.875	 0.125	4	60	4
135	 0.875	 0.125	4	60	18
150	 0.875	 0.125	4	60	31
165	 0.875	 0.125	4	60	46
180	 0.875	 0.125	4	60	60
195	 0.875	 0.125	4	45	60
210	 0.875	 0.125	4	32	60
225	 0.875	 0.125	4	18	60
240	 0.875	 0.125	4	4	60
255	 0.875	 0.125	17	4	60
270	 0.875	 0.125	32	4	60
285	 0.875	 0.125	46	4	60
300	 0.875	 0.125	59	4	60
315	 0.875	 0.125	60	4	45
330	 0.875	 0.125	60	4	31
345	 0.875	 0.125	60	4	18
0	 0.875	  0.25	120	8	8
15	 0.875	  0.25	120	36	8
30	 0.875	  0.25	120	64	8
45	 0.875	  0.25	120	92	8
60	 0.875	  0.25	120	120	8
75	 0.875	  0.25	91	120	8
90	 0.875	  0.25	64	120	8
105	 0.875	  0.25	36	120	8
120	 0.875	  0.25	8	120	8
135	 0.875	  0.25	8	120	36
150	 0.875	  0.25	8	120	63
165	 0.875	  0.25	8	120	92
180	 0.875	  0.25	8	120	120
195	 0.875	  0.25	8	91	120
210	 0.875	  0.25	8	64	120
225	 0.875	  0.25	8	36	120
240	 0.875	  0.25	8	8	120
255	 0.875	  0.25	35	8	120
270	 0.875	  0.25	64	8	120
285	 0.875	  0.25	92	8	120
300	 0.875	  0.25	119	8	120
315	 0.875	  0.25	120	8	91
330	 0.875	  0.25	120	8	63
345	 0.875	  0.25	120	8	36
0	 0.875	 0.375	180	12	12
15	 0.875	 0.375	180	54	12
30	 0.875	 0.375	180	96	12
45	 0.875	 0.375	180	138	12
60	 0.875	 0.375	180	180	12
75	 0.875	 0.375	137	180	12
90	 0.875	 0.375	96	180	12
105	 0.875	 0.375	54	180	12
120	 0.875	 0.375	12	180	12
135	 0.875	 0.375	12	180	54
150	 0.875	 0.375	12	180	95
165	 0.875	 0.375	12	180	138
180	 0.875	 0.375	12	180	180
195	 0.875	 0.375	12	137	180
210	 0.875	 0.375	12	96	180
225	 0.875	 0.375	12	54	180
240	 0.875	 0.375	12	12	180
255	 0.875	 0.375	53	12	180
270	 0.875	 0.375	96	12	180
285	 0.875	 0.375	138	12	180
300	 0.875	 0.375	179	12	180
315	 0.875	 0.375	180	12	137
330	 0.875	 0.375	180	12	95
345	 0.875	 0.375	180	12	54
0	 0.875	   0.5	240	16	16
15	 0.875	   0.5	240	72	16
30	 0.875	   0.5	240	128	16
45	 0.875	   0.5	240	184	16
60	 0.875	   0.5	240	240	16
75	 0.875	   0.5	183	240	16
90	 0.875	   0.5	128	240	16
105	 0.875	   0.5	72	240	16
120	 0.875	   0.5	16	240	16
135	 0.875	   0.5	16	240	72
150	 0.875	   0.5	16	240	127
165	 0.875	   0.5	16	240	184
180	 0.875	   0.5	16	240	240
195	 0.875	   0.5	16	183	240
210	 0.875	   0.5	16	128	240
225	 0.875	   0.5	16	72	240
240	 0.875	   0.5	16	16	240
255	 0.875	   0.5	71	16	240
270	 0.875	   0.5	128	16	240
285	 0.875	   0.5	184	16	240
300	 0.875	   0.5	239	16	240
315	 0.875	   0.5	240	16	183
330	 0.875	   0.5	240	16	127
345	 0.875	   0.5	240	16	72
0	 0.875	 0.625	244	76	76
15	 0.875	 0.625	244	118	76
30	 0.875	 0.625	244	160	76
45	 0.875	 0.625	244	202	76
60	 0.875	 0.625	244	244	76
75	 0.875	 0.625	201	244	76
90	 0.875	 0.625	160	244	76
105	 0.875	 0.625	118	244	76
120	 0.875	 0.625	76	244	76
135	 0.875	 0.625	76	244	118
150	 0.875	 0.625	76	244	159
165	 0.875	 0.625	76	244	202
180	 0.875	 0.625	76	244	244
195	 0.875	 0.625	76	201	244
210	 0.875	 0.625	76	160	244
225	 0.875	 0.625	76	118	244
240	 0.875	 0.625	76	76	244
255	 0.875	 0.625	117	76	244
270	 0.875	 0.625	160	76	244
285	 0.875	 0.625	202	76	244
300	 0.875	 0.625	243	76	244
315	 0.875	 0.625	244	76	201
330	 0.875	 0.625	244	76	159
345	 0.875	 0.625	244	76	118
0	 0.875	  0.75	248	136	136
15	 0.875	  0.75	248	164	136
30	 0.875	  0.75	248	192	136
45	 0.875	  0.75	248	220	136
60	 0.875	  0.75	248	248	136
75	 0.875	  0.75	219	248	136
90	 0.875	  0.75	192	248	136
105	 0.875	  0.75	164	248	136
120	 0.875	  0.75	136	248	136
135	 0.875	  0.75	136	248	164
150	 0.875	  0.75	136	248	192
165	 0.875	  0.75	136	248	220
180	 0.875	  0.75	136	248	248
195	 0.875	  0.75	136	219	248
210	 0.875	  0.75	136	192	248
225	 0.875	  0.75	136	164	248
240	 0.875	  0.75	136	136	248
255	 0.875	  0.75	163	136	248
270	 0.875	  0.75	192	136	248
285	 0.875	  0.75	220	136	248
300	 0.875	  0.75	247	136	248
315	 0.875	  0.75	248	136	219
330	 0.875	  0.75	248	136	191
345	 0.875	  0.75	248	136	164
0	 0.875	 0.875	252	196	196
15	 0.875	 0.875	252	210	196
30	 0.875	 0.875	252	224	196
45	 0.875	 0.875	252	238	196
60	 0.875	 0.875	252	252	196
75	 0.875	 0.875	238	252	196
90	 0.875	 0.875	224	252	196
105	 0.875	 0.875	210	252	196
120	 0.875	 0.875	196	252	196
135	 0.875	 0.875	196	252	210
150	 0.875	 0.875	196	252	224
165	 0.875	 0.875	196	252	238
180	 0.875	 0.875	196	252	252
195	 0.875	 0.875	196	238	252
210	 0.875	 0.875	196	224	252
225	 0.875	 0.875	196	210	252
240	 0.875	 0.875	196	196	252
255	 0.875	 0.875	209	196	252
270	 0.875	 0.875	224	196	252
285	 0.875	 0.875	238	196	252
300	 0.875	 0.875	251	196	252
315	 0.875	 0.875	252	196	238
330	 0.875	 0.875	252	196	223
345	 0.875	 0.875	252	196	210
0	 0.875	     1	255	255	255
15	 0.875	     1	255	255	255
30	 0.875	     1	255	255	255
45	 0.875	     1	255	255	255
60	 0.875	     1	255	255	255
75	 0.875	     1	255	255	255
90	 0.875	     1	255	255	255
105	 0.875	     1	255	255	255
120	 0.875	     1	255	255	255
135	 0.875	     1	255	255	255
150	 0.875	     1	255	255	255
165	 0.875	     1	255	255	255
180	 0.875	     1	255	255	255
195	 0.875	     1	255	255	255
210	 0.875	     1	255	255	255
225	 0.875	     1	255	255	255
240	 0.875	     1	255	255	255
255	 0.875	     1	255	255	255
270	 0.875	     1	255	255	255
285	 0.875	     1	255	255	255
300	 0.875	     1	255	255	255
315	 0.875	     1	255	255	255
330	 0.875	     1	255	255	255
345	 0.875	     1	255	255	255
0	     1	     0	0	0	0
15	     1	     0	0	0	0
30	     1	     0	0	0	0
45	     1	     0	0	0	0
60	     1	     0	0	0	0
75	     1	     0	0	0	0
90	     1	     0	0	0	0
105	     1	     0	0	0	0
120	     1	     0	0	0	0
135	     1	     0	0	0	0
150	     1	     0	0	0	0
165	     1	     0	0	0	0
180	     1	     0	0	0	0
195	     1	     0	0	0	0
210	     1	     0	0	0	0
225	     1	     0	0	0	0
240	     1	     0	0	0	0
255	     1	     0	0	0	0
270	     1	     0	0	0	0
285	     1	     0	0	0	0
300	     1	     0	0	0	0
315	     1	     0	0	0	0
330	     1	     0	0	0	0
345	     1	     0	0	0	0
0	     1	 0.125	64	0	0
15	     1	 0.125	64	16	0
30	     1	 0.125	64	32	0
45	     1	 0.125	64	48	0
60	     1	 0.125	64	64	0
75	     1	 0.125	47	64	0
90	     1	 0.125	32	64	0
105	     1	 0.125	16	64	0
120	     1	 0.125	0	64	0
135	     1	 0.125	0	64	16
150	     1	 0.125	0	64	31
165	     1	 0.125	0	64	48
180	     1	 0.125	0	64	64
195	     1	 0.125	0	47	64
210	     1	 0.125	0	32	64
225	     1	 0.125	0	16	64
240	     1	 0.125	0	0	64
255	     1	 0.125	15	0	64
270	     1	 0.125	32	0	64
285	     1	 0.125	48	0	64
300	     1	 0.125	63	0	64
315	     1	 0.125	64	0	47
330	     1	 0.125	64	0	31
345	     1	 0.125	64	0	16
0	     1	  0.25	128	0	0
15	     1	  0.25	128	32	0
30	     1	  0.25	128	64	0
45	     1	  0.25	128	96	0
60	     1	  0.25	128	128	0
75	     1	  0.25	95	128	0
90	     1	  0.25	64	128	0
105	     1	  0.25	32	128	0
120	     1	  0.25	0	128	0
135	     1	  0.25	0	128	32
150	     1	  0.25	0	128	63
165	     1	  0.25	0	128	96
180	     1	  0.25	0	128	128
195	     1	  0.25	0	95	128
210	     1	  0.25	0	64	128
225	     1	  0.25	0	32	128
240	     1	  0.25	0	0	128
255	     1	  0.25	31	0	128
270	     1	  0.25	64	0	128
285	     1	  0.25	96	0	128
300	     1	  0.25	127	0	128
315	     1	  0.25	128	0	95
330	     1	  0.25	128	0	63
345	     1	  0.25	128	0	32
0	     1	 0.375	192	0	0
15	     1	 0.375	192	48	0
30	     1	 0.375	192	96	0
45	     1	 0.375	192	144	0
60	     1	 0.375	192	192	0
75	     1	 0.375	143	192	0
90	     1	 0.375	96	192	0
105	     1	 0.375	48	192	0
120	     1	 0.375	0	192	0
135	     1	 0.375	0	192	48
150	     1	 0.375	0	192	95
165	     1	 0.375	0	192	144
180	     1	 0.375	0	192	192
195	     1	 0.375	0	143	192
210	     1	 0.375	0	96	192
225	     1	 0.375	0	48	192
240	     1	 0.375	0	0	192
255	     1	 0.375	47	0	192
270	     1	 0.375	96	0	192
285	     1	 0.375	144	0	192
300	     1	 0.375	191	0	192
315	     1	 0.375	192	0	143
330	     1	 0.375	192	0	95
345	     1	 0.375	192	0	48
0	     1	   0.5	255	0	0
15	     1	   0.5	255	64	0
30	     1	   0.5	255	128	0
45	     1	   0.5	255	192	0
60	     1	   0.5	255	255	0
75	     1	   0.5	191	255	0
90	     1	   0.5	128	255	0
105	     1	   0.5	64	255	0
120	     1	   0.5	0	255	0
135	     1	   0.5	0	255	64
150	     1	   0.5	0	255	127
165	     1	   0.5	0	255	192
180	     1	   0.5	0	255	255
195	     1	   0.5	0	191	255
210	     1	   0.5	0	128	255
225	     1	   0.5	0	64	255
240	     1	   0.5	0	0	255
255	     1	   0.5	63	0	255
270	     1	   0.5	128	0	255
285	     1	   0.5	192	0	255
300	     1	   0.5	255	0	255
315	     1	   0.5	255	0	191
330	     1	   0.5	255	0	127
345	     1	   0.5	255	0	64
0	     1	 0.625	255	64	64
15	     1	 0.625	255	112	64
30	     1	 0.625	255	160	64
45	     1	 0.625	255	208	64
60	     1	 0.625	255	255	64
75	     1	 0.625	207	255	64
90	     1	 0.625	160	255	64
105	     1	 0.625	112	255	64
120	     1	 0.625	64	255	64
135	     1	 0.625	64	255	112
150	     1	 0.625	64	255	159
165	     1	 0.625	64	255	208
180	     1	 0.625	64	255	255
195	     1	 0.625	64	207	255
210	     1	 0.625	64	160	255
225	     1	 0.625	64	112	255
240	     1	 0.625	64	64	255
255	     1	 0.625	111	64	255
270	     1	 0.625	160	64	255
285	     1	 0.625	208	64	255
300	     1	 0.625	255	64	255
315	     1	 0.625	255	64	207
330	     1	 0.625	255	64	159
345	     1	 0.625	255	64	112
0	     1	  0.75	255	128	128
15	     1	  0.75	255	160	128
30	     1	  0.75	255	192	128
45	     1	  0.75	255	224	128
60	     1	  0.75	255	255	128
75	     1	  0.75	223	255	128
90	     1	  0.75	192	255	128
105	     1	  0.75	160	255	128
120	     1	  0.75	128	255	128
135	     1	  0.75	128	255	160
150	     1	  0.75	128	255	191
165	     1	  0.75	128	255	224
180	     1	  0.75	128	255	255
195	     1	  0.75	128	223	255
210	     1	  0.75	128	192	255
225	     1	  0.75	128	160	255
240	     1	  0.75	128	128	255
255	     1	  0.75	159	128	255
270	     1	  0.75	192	128	255
285	     1	  0.75	224	128	255
300	     1	  0.75	255	128	255
315	     1	  0.75	255	128	223
